Player,AV,Age
Leon Hall,8,24
Leon Hall,15,25
Leon Hall,7,26
Leon Hall,5,27
Leon Hall,7,28
Leon Hall,5,30
Harrison Hand,1,22
Harrison Hand,1,23
Vernon Hargreaves III,5,21
Vernon Hargreaves III,2,22
Vernon Hargreaves III,4,24
Vernon Hargreaves III,5,25
Davontae Harris,3,24
Mike Harris,3,23
D.J. Hayden,3,24
D.J. Hayden,4,25
Kelvin Hayden,8,24
Kelvin Hayden,5,25
Kelvin Hayden,3,26
Kelvin Hayden,4,27
Casey Hayward,4,23
Casey Hayward,12,27
Casey Hayward,13,28
Casey Hayward,5,29
Casey Hayward,6,30
Casey Hayward,4,31
Casey Hayward,5,32
K.J. Hill,1,23
Reynaldo Hill,4,23
Reynaldo Hill,5,24
Tye Hill,4,24
Tye Hill,2,25
Ellis Hobbs,4,22
Ellis Hobbs,7,23
Ellis Hobbs,7,24
Ellis Hobbs,9,25
Ellis Hobbs,3,27
Daven Holly,7,24
Daven Holly,3,25
Jayron Hosley,3,22
Jayron Hosley,3,25
Davon House,6,26
Davon House,4,28
Chris Houston,5,23
Chris Houston,6,24
Chris Houston,4,25
Chris Houston,5,26
Chris Houston,7,27
Chris Houston,5,28
Chris Houston,5,29
Michael Huff,5,29
Von Hutchins,4,26
Josh Jackson,4,22
Josh Jackson,2,24
Marlin Jackson,8,24
William Jackson III,4,26
William Jackson III,4,27
William Jackson III,5,28
William Jackson III,4,29
Quentin Jammer,6,24
Quentin Jammer,6,25
Quentin Jammer,5,26
Quentin Jammer,6,27
Quentin Jammer,6,28
Quentin Jammer,7,29
Quentin Jammer,7,30
Quentin Jammer,7,31
Quentin Jammer,5,32
Quentin Jammer,8,33
Jackrabbit Jenkins,8,24
Jackrabbit Jenkins,6,25
Jackrabbit Jenkins,6,26
Jackrabbit Jenkins,6,27
Jackrabbit Jenkins,12,28
Jackrabbit Jenkins,4,29
Jackrabbit Jenkins,6,30
Jackrabbit Jenkins,5,31
Jackrabbit Jenkins,5,32
Jackrabbit Jenkins,4,33
Malcolm Jenkins,3,22
Mike Jenkins,11,24
Mike Jenkins,5,25
Mike Jenkins,4,26
Mike Jenkins,5,28
Mike Jenkins,2,30
Kelly Jennings,6,25
Kelly Jennings,2,26
Kelly Jennings,3,27
Kelly Jennings,5,28
Tim Jennings,6,25
Tim Jennings,3,26
Tim Jennings,5,27
Tim Jennings,6,28
Tim Jennings,13,29
Tim Jennings,8,30
Tim Jennings,4,31
Chris Johnson,3,29
Chris Johnson,6,30
Derrick Johnson,2,23
Dontae Johnson,6,26
Kevin Johnson,5,23
Kevin Johnson,2,28
Trumaine Johnson,5,23
Trumaine Johnson,3,24
Trumaine Johnson,7,25
Trumaine Johnson,4,26
Trumaine Johnson,6,27
Trumaine Johnson,5,28
Adam Jones,5,22
Adam Jones,9,23
Adam Jones,3,25
Adam Jones,3,28
Adam Jones,7,30
Adam Jones,9,32
Adam Jones,6,33
Adam Jones,3,34
Byron Jones,11,26
Byron Jones,5,27
Byron Jones,6,28
Byron Jones,5,29
David Jones,3,23
David Jones,2,25
Johnathan Joseph,4,22
Johnathan Joseph,6,23
Johnathan Joseph,4,24
Johnathan Joseph,8,25
Johnathan Joseph,5,26
Johnathan Joseph,13,27
Johnathan Joseph,10,28
Johnathan Joseph,6,29
Johnathan Joseph,7,30
Johnathan Joseph,7,31
Johnathan Joseph,4,32
Johnathan Joseph,6,33
Johnathan Joseph,5,34
Johnathan Joseph,4,35
Justin King,3,22
Justin King,5,24
Kevin King,2,22
Kevin King,6,24
Kevin King,4,25
Kevin King,2,26
Dre Kirkpatrick,6,26
Dre Kirkpatrick,6,27
Dre Kirkpatrick,6,28
Dre Kirkpatrick,3,29
Dre Kirkpatrick,6,31
Jeremy Lane,2,27
Nevin Lawson,3,24
Nevin Lawson,5,25
Nevin Lawson,5,26
Nevin Lawson,5,27
Nevin Lawson,3,29
Pat Lee,2,28
Michael Lehan,4,28
Keenan Lewis,8,26
Keenan Lewis,7,27
Keenan Lewis,5,28
Tony Lippett,5,24
Dwight Lowery,4,22
Dwight Lowery,4,23
Craig Mager,3,24
Ricky Manning,5,23
Ricky Manning,6,24
Ricky Manning,5,26
Ricky Manning,3,27
Richard Marshall,5,22
Richard Marshall,5,23
Richard Marshall,8,25
Richard Marshall,6,26
Richard Marshall,5,27
Richard Marshall,3,29
Rashean Mathis,7,23
Rashean Mathis,8,24
Rashean Mathis,8,25
Rashean Mathis,18,26
Rashean Mathis,6,27
Rashean Mathis,6,28
Rashean Mathis,4,29
Rashean Mathis,5,30
Rashean Mathis,4,31
Rashean Mathis,5,33
Rashean Mathis,6,34
Byron Maxwell,4,25
Byron Maxwell,6,26
Byron Maxwell,5,27
Byron Maxwell,5,28
Trumaine McBride,4,22
Trumaine McBride,5,28
Brice McCain,4,28
Brice McCain,4,29
Marcus McCauley,3,24
Robert McClain,3,25
Robert McClain,3,26
Robert McClain,3,29
Devin McCourty,10,23
Devin McCourty,5,24
Devin McCourty,7,25
Jason McCourty,3,23
Jason McCourty,8,24
Jason McCourty,6,25
Jason McCourty,6,26
Jason McCourty,6,27
Jason McCourty,5,29
Jason McCourty,6,30
Jason McCourty,4,31
Jason McCourty,5,32
Jason McCourty,4,33
Demetrius McCray,5,23
Brandon McDonald,7,23
Brandon McDonald,4,24
Dexter McDonald,2,26
Bryant McFadden,6,25
Bryant McFadden,5,27
Bryant McFadden,6,28
Bryant McFadden,8,29
Terrence McGee,15,24
Terrence McGee,12,25
Terrence McGee,6,26
Terrence McGee,7,27
Terrence McGee,6,28
Terrence McGee,4,29
Leodis McKelvin,5,23
Leodis McKelvin,4,25
Leodis McKelvin,4,26
Leodis McKelvin,5,28
Leodis McKelvin,4,29
Leodis McKelvin,3,30
Leodis McKelvin,5,31
William Middleton,3,25
Justin Miller,4,21
Dee Milliner,5,22
Captain Munnerlyn,3,22
Captain Munnerlyn,4,23
Captain Munnerlyn,6,24
Captain Munnerlyn,8,25
Captain Munnerlyn,7,26
Terence Newman,8,25
Terence Newman,6,26
Terence Newman,9,27
Terence Newman,7,28
Terence Newman,8,29
Terence Newman,5,30
Terence Newman,12,31
Terence Newman,5,32
Terence Newman,6,33
Terence Newman,7,34
Terence Newman,7,35
Terence Newman,5,36
Terence Newman,6,37
Terence Newman,4,38
Josh Norman,5,25
Josh Norman,4,27
Josh Norman,15,28
Josh Norman,5,29
Josh Norman,5,30
Josh Norman,6,31
Josh Norman,3,32
Josh Norman,5,34
Michael Ojemudia,4,23
Chris Owens,3,23
Darius Phillips,3,25
Tracy Porter,5,23
Tracy Porter,6,24
Tracy Porter,5,25
Tracy Porter,6,27
Tracy Porter,5,29
Tracy Porter,5,30
Jerraud Powers,4,22
Jerraud Powers,4,23
Jerraud Powers,5,24
Jerraud Powers,3,25
Jerraud Powers,6,26
Jerraud Powers,5,28
Glover Quin,4,23
Glover Quin,5,24
Damarious Randall,4,23
Damarious Randall,3,24
Damarious Randall,5,25
Keiwan Ratliff,3,23
Jacques Reeves,5,25
Jacques Reeves,6,26
Jacques Reeves,2,27
John Reid,1,24
John Reid,1,25
Darrelle Revis,7,22
Darrelle Revis,11,23
Darrelle Revis,22,24
Darrelle Revis,14,25
Darrelle Revis,17,26
Darrelle Revis,6,28
Darrelle Revis,15,29
Darrelle Revis,11,30
Darrelle Revis,5,31
Xavier Rhodes,2,23
Xavier Rhodes,6,24
Xavier Rhodes,6,25
Xavier Rhodes,9,26
Xavier Rhodes,12,27
Xavier Rhodes,5,28
Xavier Rhodes,7,29
Xavier Rhodes,5,30
Xavier Rhodes,5,31
Darryl Roberts,4,28
Darryl Roberts,4,29
Dunta Robinson,7,22
Dunta Robinson,5,23
Dunta Robinson,6,24
Dunta Robinson,3,25
Dunta Robinson,3,26
Dunta Robinson,5,27
Dunta Robinson,6,28
Dunta Robinson,7,29
Dunta Robinson,7,30
Josh Robinson,3,22
Patrick Robinson,4,24
Patrick Robinson,6,25
Patrick Robinson,5,30
Rashard Robinson,3,21
Rashard Robinson,3,22
Bradley Roby,6,26
Bradley Roby,4,27
Bradley Roby,3,28
Bradley Roby,4,30
Robert Rochell,2,23
Dominique Rodgers-Cromartie,5,22
Dominique Rodgers-Cromartie,10,23
Dominique Rodgers-Cromartie,6,24
Dominique Rodgers-Cromartie,6,26
Dominique Rodgers-Cromartie,6,27
Dominique Rodgers-Cromartie,6,28
Dominique Rodgers-Cromartie,9,29
Dominique Rodgers-Cromartie,11,30
Dominique Rodgers-Cromartie,2,31
Carlos Rogers,3,24
Carlos Rogers,6,25
Carlos Rogers,8,27
Carlos Rogers,6,28
Carlos Rogers,5,29
Carlos Rogers,13,30
Carlos Rogers,5,31
Carlos Rogers,5,32
Antrel Rolle,5,24
Antrel Rolle,5,25
Aaron Ross,5,25
Aaron Ross,6,26
Aaron Ross,5,29
Aaron Ross,4,30
Derek Ross,5,22
Stanford Routt,6,24
Stanford Routt,5,27
Stanford Routt,5,28
Eric Rowe,2,23
Eric Rowe,3,24
Mike Rumph,5,24
Logan Ryan,4,22
Logan Ryan,3,23
Logan Ryan,6,24
Logan Ryan,5,25
Logan Ryan,5,26
Logan Ryan,6,27
Logan Ryan,7,28
Asante Samuel,4,23
Asante Samuel,6,24
Asante Samuel,11,25
Asante Samuel,14,26
Asante Samuel,13,27
Asante Samuel,13,28
Asante Samuel,8,29
Asante Samuel,7,30
Asante Samuel,8,31
Asante Samuel,3,32
Orlando Scandrick,3,24
Orlando Scandrick,4,26
Orlando Scandrick,6,27
Orlando Scandrick,4,30
Orlando Scandrick,2,31
Bryan Scott,8,28
Coty Sensabaugh,3,26
Coty Sensabaugh,6,27
Coty Sensabaugh,4,30
Kendall Sheffield,3,24
Lito Sheppard,5,22
Lito Sheppard,17,23
Lito Sheppard,5,24
Lito Sheppard,10,25
Lito Sheppard,5,26
Lito Sheppard,5,28
Lito Sheppard,2,30
Richard Sherman,6,23
Richard Sherman,20,24
Richard Sherman,21,25
Richard Sherman,18,26
Richard Sherman,15,27
Richard Sherman,9,28
Richard Sherman,4,29
Richard Sherman,5,30
Richard Sherman,12,31
Tharold Simon,3,23
LeShaun Sims,4,27
Buster Skrine,5,24
Buster Skrine,7,25
Buster Skrine,5,27
Buster Skrine,6,28
Alphonso Smith,5,25
Jimmy Smith,7,25
Jimmy Smith,3,26
Jimmy Smith,6,27
Jimmy Smith,4,28
Jimmy Smith,6,29
Jimmy Smith,5,30
Ryan Smith,3,24
Ryan Smith,3,25
Sean Smith,5,22
Sean Smith,3,23
Sean Smith,7,24
Sean Smith,7,25
Sean Smith,6,26
Sean Smith,6,27
Sean Smith,4,28
Sean Smith,5,29
Sean Smith,3,30
Shawntae Spencer,4,22
Shawntae Spencer,5,23
Shawntae Spencer,4,24
Shawntae Spencer,7,27
Shawntae Spencer,6,28
Aqib Talib,6,23
Aqib Talib,6,24
Aqib Talib,4,25
Aqib Talib,12,27
Aqib Talib,9,28
Aqib Talib,10,29
Aqib Talib,15,30
Aqib Talib,9,31
Aqib Talib,3,32
Cordrea Tankersley,4,24
Ike Taylor,7,25
Ike Taylor,6,26
Ike Taylor,8,27
Ike Taylor,8,28
Ike Taylor,7,29
Ike Taylor,7,30
Ike Taylor,8,31
Ike Taylor,6,32
Ike Taylor,6,33
Jamar Taylor,3,25
Jamar Taylor,5,26
Jamar Taylor,6,27
Josh Thomas,3,24
Kevin Thomas,2,25
Terrell Thomas,6,24
Terrell Thomas,7,25
Bruce Thornton,4,25
Charles Tillman,5,22
Charles Tillman,3,23
Charles Tillman,8,24
Charles Tillman,7,25
Charles Tillman,6,26
Charles Tillman,7,27
Charles Tillman,5,28
Charles Tillman,7,29
Charles Tillman,10,30
Charles Tillman,17,31
Charles Tillman,3,32
Charles Tillman,4,34
Greg Toler,5,25
Greg Toler,3,28
Greg Toler,7,29
Greg Toler,4,30
Desmond Trufant,5,23
Desmond Trufant,6,24
Desmond Trufant,10,25
Desmond Trufant,3,26
Desmond Trufant,7,27
Desmond Trufant,5,28
Desmond Trufant,3,29
Marcus Trufant,7,23
Marcus Trufant,7,24
Marcus Trufant,7,25
Marcus Trufant,6,26
Marcus Trufant,11,27
Marcus Trufant,6,28
Marcus Trufant,4,29
Marcus Trufant,7,30
Justin Tryon,2,26
Nathan Vasher,5,23
Nathan Vasher,15,24
Nathan Vasher,5,25
Nathan Vasher,3,27
Nathan Vasher,2,29
Alterraun Verner,5,22
Alterraun Verner,6,24
Alterraun Verner,13,25
Alterraun Verner,5,26
Jason Verrett,9,24
Jason Verrett,5,29
Frank Walker,3,23
Frank Walker,3,28
Tim Wansley,4,25
Fabian Washington,3,22
Fabian Washington,5,23
Fabian Washington,5,25
Fabian Washington,4,26
Fabian Washington,3,27
Trae Waynes,6,25
Trae Waynes,5,26
Trae Waynes,4,27
B.W. Webb,3,26
B.W. Webb,5,28
B.W. Webb,4,29
Lardarius Webb,9,26
Lardarius Webb,7,28
Lardarius Webb,4,29
Lardarius Webb,5,30
Corey Webster,4,24
Corey Webster,7,26
Corey Webster,4,27
Corey Webster,6,28
Corey Webster,6,29
Corey Webster,6,30
Kayvon Webster,4,26
Ken Webster,2,23
Corey White,4,23
Corey White,4,24
Rachad Wildgoose,2,22
Jonathan Wilhite,4,25
Aaron Williams,2,21
Aaron Williams,3,22
Brian Williams,3,23
Brian Williams,7,24
Brian Williams,4,25
Brian Williams,4,26
Brian Williams,6,27
Brian Williams,6,28
Brian Williams,6,29
Cary Williams,6,27
Cary Williams,8,28
Cary Williams,7,29
Cary Williams,6,30
Cary Williams,5,31
Darrent Williams,4,23
Darrent Williams,7,24
Greedy Williams,4,22
Greedy Williams,3,24
Greedy Williams,1,25
Jimmy Williams,3,22
P.J. Williams,3,24
P.J. Williams,2,29
Josh Wilson,6,23
Josh Wilson,6,24
Josh Wilson,4,25
Josh Wilson,6,26
Josh Wilson,5,27
Josh Wilson,5,28
Kyle Wilson,7,25
Stanley Wilson,2,25
Andre Woolfolk,3,25
Blidi Wreh-Wilson,4,25
Eric Wright,5,22
Eric Wright,8,23
Eric Wright,7,24
Eric Wright,4,25
Eric Wright,7,26
Eric Wright,4,27
Shareece Wright,5,26
Shareece Wright,5,27
Shareece Wright,3,28
Shareece Wright,4,29
Shareece Wright,3,30
Tavon Young,6,22
